PlayTime,Jacques Tati,1967,France
Big Deal on Madonna Street,Mario Monicelli,1958,Italy
My Man Godfrey,Gregory La Cava,1936,United States
Rififi,Jules Dassin,1955,France
The Hidden Fortress,Akira Kurosawa,1958,Japan
Diary of a Chambermaid,Luis Buñuel,1964,France
Sullivan's Travels,Preston Sturges,1942,United States
Withnail and I,Bruce Robinson,1986,United Kingdom
How to Get Ahead in Advertising,Bruce Robinson,1988,United Kingdom
Billy Liar,John Schlesinger,1963,United Kingdom
Salesman,Albert Maysles,1968,United States
Grey Gardens,Albert Maysles,1976,United States
Carl Theodor Dreyer Box Set,Carl Th. Dreyer,,Denmark
Day of Wrath,Carl Th. Dreyer,1943,Denmark
Ordet,Carl Th. Dreyer,1955,Denmark
Gertrud,Carl Th. Dreyer,1964,Denmark
Carl Th. Dreyer: My Metier,Carl Th. Dreyer,1995,Denmark
Le trou,Jacques Becker,1960,France
The Shop on Main Street,Ján Kadár,1965,Czechoslovakia
Closely Watched Trains,Jirí Menzel,1966,Czechoslovakia
The Ruling Class,Peter Medak,1972,United Kingdom
The Vanishing,George Sluizer,1988,Netherlands
Häxan,Benjamin Christensen,1922,Denmark
Rebecca,Alfred Hitchcock,1940,United States
Spellbound,Alfred Hitchcock,1945,United States
Notorious,Alfred Hitchcock,1946,United States
Rashomon,Akira Kurosawa,1950,Japan
Wild Strawberries,Ingmar Bergman,1957,Sweden
8 1/2,Federico Fellini,1963,Italy
Children of Paradise,Marcel Carné,1945,France
The Last Wave,Peter Weir,1977,Australia
That Obscure Object of Desire,Luis Buñuel,1977,France
Loves of a Blonde,Milos Forman,1965,Czechoslovakia
The Firemen's Ball,Milos Forman,1967,Czechoslovakia
The Cranes Are Flying,Mikhail Kalatozov,1957,Soviet Union
In the Mood for Love,Wong Kar-Wai,2000,Hong Kong
Ballad of a Soldier,Grigori Chukhrai,1959,Soviet Union
Juliet of the Spirits,Federico Fellini,1965,Italy
Bob Le Flambeur,Jean-Pierre Melville,1956,France
Traffic,Steven Soderbergh,2000,United States
George Washington,David Gordon Green,2000,United States
General Idi Amin Dada,Barbet Schroeder,1974,France
The Horse's Mouth,Ronald Neame,1948,United States
Tokyo Olympiad,Kon Ichikawa,1965,Japan
Hearts and Minds,Peter Davis,1974,United States
The Royal Tenenbaums,Wes Anderson,2001,United States
The Importance of Being Earnest,Anthony Asquith,1952,United Kingdom
Red Beard,Akira Kurosawa,1965,Japan
À nous la liberté,René Clair,1931,France
Under the Roof of Paris,René Clair,1930,France
Ratcatcher,Lynne Ramsay,1999,United Kingdom
Hopscotch,Ronald Neame,1980,United States
Solaris,Andrei Tarkovsky,1972,Soviet Union
Man Bites Dog,Rémy Belvaux,1992,France
Down By Law,Jim Jarmusch,1986,United States
The Complete Monterey Pop Festival,D.A. Pennebaker,,United States
Monterey Pop,D.A. Pennebaker,1967,United States
Jimi Plays Monterey & Shake! Otis At Monterey,D.A. Pennebaker,1986,United States
Trouble in Paradise,Ernst Lubitsch,1932,United States
Contempt,Jean-Luc Godard,1963,France
Pépé le Moko,Julien Duvivier,1937,France
The Life and Death of Colonel Blimp,Michael Powell,1943,United Kingdom
Band of Outsiders,Jean-Luc Godard,1964,France
Fear and Loathing in Las Vegas,Terry Gilliam,1998,United States
The Killers,Robert Siodmak/Don Siegel,,United States
The Lost Honor of Katharina Blum,Volker Schlöndorff,1975,Germany
My Life as a Dog,Lasse Hallström,1985,Sweden
I Am Curious… Box Set,Vilgot Sjöman,,Sweden
I Am Curious Yellow,Vilgot Sjöman,1967,Sweden
I Am Curious Blue,Vilgot Sjöman,1967,Sweden
Straw Dogs,Sam Peckinpah,1971,United States
Les dames du Bois de Boulogne,Robert Bresson,1945,France
By Brakhage: An Anthology Volume One,Stan Brakhage,2003,United States
The Adventures of Antoine Doinel,François Truffaut,,France
Stolen Kisses,François Truffaut,1968,France
Bed and Board,François Truffaut,1970,France
Love on the Run,François Truffaut,1979,France
The White Sheik,Federico Fellini,1952,Italy
Throne of Blood,Akira Kurosawa,1957,Japan
Jubilee,Derek Jarman,1978,United Kingdom
Coup de grâce,Volker Schlöndorff,1976,Germany
Quai des Orfevres,Henri-Georges Clouzot,1947,France
Il Posto,Ermanno Olmi,1961,Italy
I Fidanzati,Ermanno Olmi,1962,Italy
Hiroshima Mon Amour,Alain Resnais,1959,France
Night and Fog,Alain Resnais,1955,France
Ali: Fear Eats the Soul,Rainer Werner Fassbinder,1974,Germany
Schizopolis,Steven Soderbergh,1996,United States
The Honeymoon Killers,Leonard Kastle,1970,United States
Umberto D.,Vittorio De Sica,1952,Italy
Indiscretion of an American Wife,Vittorio De Sica,1953,Italy
The BRD Trilogy,Rainer Werner Fassbinder,,Germany
The Marriage of Maria Braun,Rainer Werner Fassbinder,1978,Germany
Veronika Voss,Rainer Werner Fassbinder,1982,Germany
Lola,Rainer Werner Fassbinder,1982,Germany
The Pornographers,Shohei Imamura,1966,Japan
A Film Trilogy by Ingmar Bergman,Ingmar Bergman,,Sweden
Through a Glass Darkly,Ingmar Bergman,1961,Sweden
Winter Light,Ingmar Bergman,1963,Sweden
The Silence,Ingmar Bergman,1963,Sweden
Ingmar Bergman Makes a Movie,Vilgot Sjöman,1962,Sweden
Richard III,Laurence Olivier,1955,United Kingdom
The Devil and Daniel Webster,William Dieterle,1941,United States
Knife In the Water,Roman Polanski,1962,Poland
The Rules of the Game,Jean Renoir,1939,France
Tokyo Story,Yasujiro Ozu,1953,Japan
Le Cercle Rouge,Jean-Pierre Melville,1970,France
La Strada,Federico Fellini,1954,Italy
Naked Lunch,David Cronenberg,1991,Canada
Ikiru,Akira Kurosawa,1952,Japan
Diary of a Country Priest,Robert Bresson,1951,France
Maîtresse,Barbet Schroeder,1973,France
Pickup on the South Street,Samuel Fuller,1953,United States
Tunes of Glory,Ronald Neame,1960,United Kingdom
Onibaba,Kaneto Shindo,1964,Japan
Le Corbeau,Henri-Georges Clouzot,1943,France
Salvatore Giuliano,Francesco Rosi,1961,Italy
Scenes from a Marriage,Ingmar Bergman,1973,Sweden
3 Women,Robert Altman,1977,United States
The Testament of Dr. Mabuse,Fritz Lang,1933,Germany
A Story of Floating Weeds/Floating Weeds,Yasujiro Ozu,,Japan
Stray Dog,Akira Kurosawa,1949,Japan
The Tin Drum,Volker Schlöndorff,1979,Germany
The Leopard,Luchino Visconti,1963,italy
Mamma Roma,Pier Paolo Pasolini,1962,Italy
Smiles of a Summer night,Ingmar Bergman,1955,Italy
A Woman is a Woman,Jean-Luc Godard,1961,France
The Lower Depths,Akira Kurosawa/Jean Renoir,,
Early Summer,Yasujiro Ozu,1951,Japan
Stage and Spectacle: Three Films by Jean Renoir,Jean Renoir,,France
The Golden Coach,Jean Renoir,1953,France
French Cancan,Jean Renoir,1955,France
Elena and her Men,Jean Renoir,1956,France
Port of Shadows,Marcel Carné,1938,France
I Vitelloni,Federico Fellini,1953,Italy
Slacker,Richard Linklater,1991,United States
Videodrome,David Cronenberg,1983,Canada
The Battle of Algiers,Gillo Pontecorvo,1966,Algeria
John Cassavetes: Five Films,John Cassavetes,,United States
Shadows,John Cassavetes,1959,United States
Faces,John Cassavetes,1968,United States
A Woman Under the Influence,John Cassavetes,1974,United States
The Killing of a Chinese Bookie,John Cassavetes,1976,United States
Opening Night,John Cassavetes,1976,United States
A Constant Forge,Charles Kiselyak,2000,United States
Secret Honor,Robert Altman,1984,United States
Tanner '88,Robert Altman,1988,United States
Fat Girl,Catherine Breillat,2001,France
Eyes Without a Face,Georges Franju,1960,France
Fanny And Alexander Box Set,Ingmar Bergman,1982,Sweden
Fanny and Alexander - The Television Version,Ingmar Bergman,1982,Sweden
Fanny and Alexander - The Theatrical Version,Ingmar Bergman,1982,Sweden
Making of Fanny and Alexander,Ingmar Bergman,1982,Sweden
Short Cuts,Robert Altman,1993,United States
The King of Kings,Cecil B. DeMille,1927,United States
Kagemusha,Akira Kurosawa,1980,Japan
Youth of the Beast,Seijun Suzuki,1963,Japan
Fighting Elegy,Seijun Suzuki,1966,Japan
Casque D'Or,Jacques Becker,1962,France
Touchez Pas Au Grisbi,Jacques Becker,1954,France
La Commare Secca,Bernardo Bertolucci,1962,Italy
Thieves' Highway,Jules Dassin,1949,United States
Night and the City,Jules Dassin,1950,United States
Tout Va Bien,Jean-Luc Godard,1972,France
The River,Jean Renoir,1951,France
My Own Private Idaho,Gus Van Sant,1991,United States
L'Eclisse,Michelangelo Antonioni,1962,Italy
Young Törless,Volker Schlöndorff,1966,Germany
The Sword of Doom,Kihachi Okamoto,1966,Japan
Jules and Jim,François Truffaut,1962,France
